Numeric:   Analytic:  Relative Error:
0.135595   0.135595   8.33131e-08
0.136342   0.136342   8.33131e-08
0.137089   0.137089   8.33131e-08
0.137834   0.137834   8.33131e-08
0.138579   0.138579   8.33131e-08
0.139323   0.139323   8.33131e-08
0.140066   0.140067   8.33131e-08
0.140809   0.140809   8.3313e-08
0.14155   0.14155   8.3313e-08
0.142291   0.142291   8.3313e-08
0.143031   0.143031   8.3313e-08
0.14377   0.14377   8.3313e-08
0.144508   0.144508   8.3313e-08
0.145245   0.145245   8.3313e-08
0.145982   0.145982   8.3313e-08
0.146717   0.146717   8.3313e-08
0.147452   0.147452   8.3313e-08
0.148186   0.148186   8.3313e-08
0.148919   0.148919   8.3313e-08
0.149652   0.149652   8.3313e-08
0.150383   0.150383   8.3313e-08
0.151114   0.151114   8.3313e-08
0.151843   0.151843   8.3313e-08
0.152572   0.152572   8.3313e-08
0.153301   0.153301   8.3313e-08
0.154028   0.154028   8.3313e-08
0.154754   0.154754   8.3313e-08
0.15548   0.15548   8.3313e-08
0.156205   0.156205   8.3313e-08
0.156929   0.156929   8.3313e-08
0.157652   0.157652   8.3313e-08
0.158374   0.158375   8.3313e-08
0.159096   0.159096   8.3313e-08
0.159817   0.159817   8.3313e-08
0.160537   0.160537   8.3313e-08
0.161256   0.161256   8.3313e-08
0.161974   0.161974   8.3313e-08
0.162691   0.162692   8.3313e-08
0.163408   0.163408   8.3313e-08
0.164124   0.164124   8.3313e-08
0.164839   0.164839   8.3313e-08
0.165553   0.165553   8.3313e-08
0.166267   0.166267   8.3313e-08
0.166979   0.166979   8.3313e-08
0.167691   0.167691   8.3313e-08
0.168402   0.168402   8.3313e-08
0.169112   0.169112   8.3313e-08
0.169821   0.169821   8.3313e-08
0.17053   0.17053   8.3313e-08
0.171237   0.171237   8.3313e-08
0.171944   0.171944   8.3313e-08
0.17265   0.17265   8.3313e-08
0.173356   0.173356   8.3313e-08
0.17406   0.17406   8.3313e-08
0.174764   0.174764   8.3313e-08
0.175467   0.175467   8.3313e-08
0.176169   0.176169   8.3313e-08
0.17687   0.17687   8.3313e-08
0.177571   0.177571   8.3313e-08
0.17827   0.17827   8.3313e-08
0.178969   0.178969   8.3313e-08
0.179667   0.179667   8.3313e-08
0.180364   0.180364   8.3313e-08
0.181061   0.181061   8.3313e-08
0.181757   0.181757   8.3313e-08
0.182451   0.182451   8.3313e-08
0.183146   0.183146   8.3313e-08
0.183839   0.183839   8.3313e-08
0.184531   0.184531   8.3313e-08
0.185223   0.185223   8.3313e-08
0.185914   0.185914   8.3313e-08
0.186604   0.186604   8.3313e-08
0.187293   0.187293   8.3313e-08
0.187982   0.187982   8.33129e-08
0.18867   0.18867   8.33129e-08
0.189357   0.189357   8.33129e-08
0.190043   0.190043   8.33129e-08
0.190728   0.190728   8.33129e-08
0.191413   0.191413   8.33129e-08
0.192097   0.192097   8.33129e-08
0.19278   0.19278   8.33129e-08
0.193462   0.193462   8.33129e-08
0.194144   0.194144   8.33129e-08
0.194824   0.194824   8.33129e-08
0.195504   0.195504   8.33129e-08
0.196183   0.196183   8.33129e-08
0.196862   0.196862   8.33129e-08
0.197539   0.197539   8.33129e-08
0.198216   0.198216   8.33129e-08
0.198892   0.198892   8.33129e-08
0.199567   0.199567   8.33129e-08
0.200242   0.200242   8.33129e-08
0.200916   0.200916   8.33129e-08
0.201589   0.201589   8.33129e-08
0.202261   0.202261   8.33129e-08
0.202932   0.202932   8.33129e-08
0.203603   0.203603   8.33129e-08
0.204273   0.204273   8.33129e-08
0.204942   0.204942   8.33129e-08
0.20561   0.20561   8.33129e-08
0.206278   0.206278   8.33129e-08
0.206944   0.206944   8.33129e-08
0.20761   0.20761   8.33129e-08
0.208276   0.208276   8.33129e-08
0.20894   0.20894   8.33129e-08
0.209604   0.209604   8.33129e-08
0.210267   0.210267   8.33129e-08
0.210929   0.210929   8.33129e-08
0.21159   0.21159   8.33129e-08
0.212251   0.212251   8.33129e-08
0.212911   0.212911   8.33129e-08
0.21357   0.21357   8.33129e-08
0.214229   0.214229   8.33129e-08
0.214886   0.214886   8.33129e-08
0.215543   0.215543   8.33129e-08
0.216199   0.216199   8.33129e-08
0.216855   0.216855   8.33129e-08
0.217509   0.217509   8.33129e-08
0.218163   0.218163   8.33129e-08
0.218816   0.218816   8.33129e-08
0.219468   0.219468   8.33129e-08
0.22012   0.22012   8.33129e-08
0.220771   0.220771   8.33129e-08
0.221421   0.221421   8.33129e-08
0.22207   0.22207   8.33129e-08
0.222719   0.222719   8.33129e-08
0.223367   0.223367   8.33129e-08
0.224014   0.224014   8.33129e-08
0.22466   0.22466   8.33129e-08
0.225306   0.225306   8.33129e-08
0.225951   0.225951   8.33129e-08
0.226595   0.226595   8.33128e-08
0.227238   0.227238   8.33128e-08
0.227881   0.227881   8.33128e-08
0.228523   0.228523   8.33128e-08
0.229164   0.229164   8.33128e-08
0.229804   0.229804   8.33128e-08
0.230444   0.230444   8.33128e-08
0.231083   0.231083   8.33128e-08
0.231721   0.231721   8.33128e-08
0.232359   0.232359   8.33128e-08
0.232995   0.232995   8.33128e-08
0.233631   0.233631   8.33128e-08
0.234267   0.234267   8.33128e-08
0.234901   0.234901   8.33128e-08
0.235535   0.235535   8.33128e-08
0.236168   0.236168   8.33128e-08
0.2368   0.2368   8.33128e-08
0.237432   0.237432   8.33128e-08
0.238063   0.238063   8.33128e-08
0.238693   0.238693   8.33128e-08
0.239322   0.239322   8.33128e-08
0.239951   0.239951   8.33128e-08
0.240579   0.240579   8.33128e-08
0.241206   0.241206   8.33128e-08
0.241832   0.241832   8.33128e-08
0.242458   0.242458   8.33128e-08
0.243083   0.243083   8.33128e-08
0.243707   0.243707   8.33128e-08
0.244331   0.244331   8.33128e-08
0.244954   0.244954   8.33128e-08
0.245576   0.245576   8.33128e-08
0.246197   0.246197   8.33128e-08
0.246818   0.246818   8.33128e-08
0.247438   0.247438   8.33128e-08
0.248057   0.248057   8.33128e-08
0.248676   0.248676   8.33128e-08
0.249294   0.249294   8.33128e-08
0.249911   0.249911   8.33128e-08
0.250527   0.250527   8.33128e-08
0.251143   0.251143   8.33128e-08
0.251758   0.251758   8.33128e-08
0.252372   0.252372   8.33128e-08
0.252986   0.252986   8.33128e-08
0.253598   0.253598   8.33128e-08
0.25421   0.25421   8.33128e-08
0.254822   0.254822   8.33128e-08
0.255432   0.255432   8.33128e-08
0.256042   0.256042   8.33128e-08
0.256652   0.256652   8.33128e-08
0.25726   0.25726   8.33128e-08
0.257868   0.257868   8.33128e-08
0.258475   0.258475   8.33128e-08
0.259082   0.259082   8.33128e-08
0.259687   0.259687   8.33128e-08
0.260292   0.260292   8.33127e-08
0.260897   0.260897   8.33127e-08
0.2615   0.2615   8.33127e-08
0.262103   0.262103   8.33127e-08
0.262705   0.262705   8.33127e-08
0.263307   0.263307   8.33127e-08
0.263908   0.263908   8.33127e-08
0.264508   0.264508   8.33127e-08
0.265107   0.265107   8.33127e-08
0.265706   0.265706   8.33127e-08
0.266304   0.266304   8.33127e-08
0.266901   0.266901   8.33127e-08
0.267498   0.267498   8.33127e-08
0.268094   0.268094   8.33127e-08
0.268689   0.268689   8.33127e-08
0.269283   0.269283   8.33127e-08
0.269877   0.269877   8.33127e-08
0.27047   0.27047   8.33127e-08
0.271063   0.271063   8.33127e-08
0.271654   0.271654   8.33127e-08
0.272245   0.272245   8.33127e-08
0.272836   0.272836   8.33127e-08
0.273426   0.273426   8.33127e-08
0.274014   0.274015   8.33127e-08
0.274603   0.274603   8.33127e-08
0.27519   0.27519   8.33127e-08
0.275777   0.275777   8.33127e-08
0.276364   0.276364   8.33127e-08
0.276949   0.276949   8.33127e-08
0.277534   0.277534   8.33127e-08
0.278118   0.278118   8.33127e-08
0.278702   0.278702   8.33127e-08
