Numeric,Analytic
0.0939529,0.0939529
0.0947474,0.0947474
0.0955409,0.0955409
0.0963335,0.0963335
0.0971253,0.0971253
0.0979161,0.0979161
0.0987061,0.0987061
0.0994952,0.0994952
0.100283,0.100283
0.101071,0.101071
0.101857,0.101857
0.102643,0.102643
0.103427,0.103427
0.104211,0.104211
0.104994,0.104994
0.105776,0.105776
0.106557,0.106557
0.107337,0.107337
0.108117,0.108117
0.108895,0.108895
0.109673,0.109673
0.110449,0.110449
0.111225,0.111225
0.112,0.112
0.112774,0.112774
0.113547,0.113547
0.11432,0.11432
0.115091,0.115091
0.115862,0.115862
0.116632,0.116632
0.1174,0.1174
0.118168,0.118168
0.118936,0.118936
0.119702,0.119702
0.120467,0.120467
0.121232,0.121232
0.121995,0.121995
0.122758,0.122758
0.12352,0.12352
0.124281,0.124281
0.125042,0.125042
0.125801,0.125801
0.126559,0.126559
0.127317,0.127317
0.128074,0.128074
0.12883,0.12883
0.129585,0.129585
0.130339,0.130339
0.131092,0.131092
0.131845,0.131845
0.132597,0.132597
0.133347,0.133347
0.134097,0.134097
0.134846,0.134846
0.135595,0.135595
0.136342,0.136342
0.137089,0.137089
0.137834,0.137834
0.138579,0.138579
0.139323,0.139323
0.140066,0.140067
0.140809,0.140809
0.14155,0.14155
0.142291,0.142291
0.143031,0.143031
0.14377,0.14377
0.144508,0.144508
0.145245,0.145245
0.145982,0.145982
0.146717,0.146717
0.147452,0.147452
0.148186,0.148186
0.148919,0.148919
0.149652,0.149652
0.150383,0.150383
0.151114,0.151114
0.151843,0.151843
0.152572,0.152572
0.153301,0.153301
0.154028,0.154028
0.154754,0.154754
0.15548,0.15548
0.156205,0.156205
0.156929,0.156929
0.157652,0.157652
0.158374,0.158375
0.159096,0.159096
0.159817,0.159817
0.160537,0.160537
0.161256,0.161256
0.161974,0.161974
0.162691,0.162692
0.163408,0.163408
0.164124,0.164124
0.164839,0.164839
0.165553,0.165553
0.166267,0.166267
0.166979,0.166979
0.167691,0.167691
0.168402,0.168402
0.169112,0.169112
0.169821,0.169821
0.17053,0.17053
0.171237,0.171237
0.171944,0.171944
0.17265,0.17265
0.173356,0.173356
0.17406,0.17406
0.174764,0.174764
0.175467,0.175467
0.176169,0.176169
0.17687,0.17687
0.177571,0.177571
0.17827,0.17827
0.178969,0.178969
0.179667,0.179667
0.180364,0.180364
0.181061,0.181061
0.181757,0.181757
0.182451,0.182451
0.183146,0.183146
0.183839,0.183839
0.184531,0.184531
0.185223,0.185223
0.185914,0.185914
0.186604,0.186604
0.187293,0.187293
0.187982,0.187982
0.18867,0.18867
0.189357,0.189357
0.190043,0.190043
0.190728,0.190728
0.191413,0.191413
0.192097,0.192097
0.19278,0.19278
0.193462,0.193462
0.194144,0.194144
0.194824,0.194824
0.195504,0.195504
0.196183,0.196183
0.196862,0.196862
0.197539,0.197539
0.198216,0.198216
0.198892,0.198892
0.199567,0.199567
0.200242,0.200242
0.200916,0.200916
0.201589,0.201589
0.202261,0.202261
0.202932,0.202932
0.203603,0.203603
0.204273,0.204273
0.204942,0.204942
0.20561,0.20561
0.206278,0.206278
0.206944,0.206944
0.20761,0.20761
0.208276,0.208276
0.20894,0.20894
0.209604,0.209604
0.210267,0.210267
0.210929,0.210929
0.21159,0.21159
0.212251,0.212251
0.212911,0.212911
0.21357,0.21357
0.214229,0.214229
0.214886,0.214886
0.215543,0.215543
0.216199,0.216199
0.216855,0.216855
0.217509,0.217509
0.218163,0.218163
0.218816,0.218816
0.219468,0.219468
0.22012,0.22012
0.220771,0.220771
0.221421,0.221421
0.22207,0.22207
0.222719,0.222719
0.223367,0.223367
0.224014,0.224014
0.22466,0.22466
0.225306,0.225306
0.225951,0.225951
0.226595,0.226595
0.227238,0.227238
0.227881,0.227881
0.228523,0.228523
0.229164,0.229164
0.229804,0.229804
0.230444,0.230444
0.231083,0.231083
0.231721,0.231721
0.232359,0.232359
0.232995,0.232995
0.233631,0.233631
0.234267,0.234267
0.234901,0.234901
0.235535,0.235535
0.236168,0.236168
0.2368,0.2368
0.237432,0.237432
0.238063,0.238063
0.238693,0.238693
0.239322,0.239322
0.239951,0.239951
0.240579,0.240579
0.241206,0.241206
0.241832,0.241832
0.242458,0.242458
0.243083,0.243083
0.243707,0.243707
0.244331,0.244331
0.244954,0.244954
0.245576,0.245576
0.246197,0.246197
0.246818,0.246818
0.247438,0.247438
0.248057,0.248057
0.248676,0.248676
0.249294,0.249294
0.249911,0.249911
0.250527,0.250527
0.251143,0.251143
0.251758,0.251758
0.252372,0.252372
0.252986,0.252986
0.253598,0.253598
0.25421,0.25421
0.254822,0.254822
0.255432,0.255432
0.256042,0.256042
0.256652,0.256652
0.25726,0.25726
0.257868,0.257868
0.258475,0.258475
0.259082,0.259082
0.259687,0.259687
0.260292,0.260292
0.260897,0.260897
0.2615,0.2615
0.262103,0.262103
0.262705,0.262705
0.263307,0.263307
0.263908,0.263908
0.264508,0.264508
0.265107,0.265107
0.265706,0.265706
0.266304,0.266304
0.266901,0.266901
0.267498,0.267498
0.268094,0.268094
0.268689,0.268689
0.269283,0.269283
0.269877,0.269877
0.27047,0.27047
0.271063,0.271063
0.271654,0.271654
0.272245,0.272245
0.272836,0.272836
0.273426,0.273426
0.274014,0.274015
0.274603,0.274603
0.27519,0.27519
0.275777,0.275777
0.276364,0.276364
0.276949,0.276949
0.277534,0.277534
0.278118,0.278118
0.278702,0.278702
0.279284,0.279284
0.279867,0.279867
0.280448,0.280448
0.281029,0.281029
0.281609,0.281609
0.282188,0.282188
0.282767,0.282767
0.283345,0.283345
0.283922,0.283922
0.284499,0.284499
0.285075,0.285075
0.28565,0.28565
0.286225,0.286225
0.286799,0.286799
0.287372,0.287372
0.287945,0.287945
0.288517,0.288517
0.289088,0.289088
0.289659,0.289659
0.290229,0.290229
0.290798,0.290798
0.291367,0.291367
0.291935,0.291935
0.292502,0.292502
0.293069,0.293069
0.293635,0.293635
0.2942,0.2942
0.294765,0.294765
0.295328,0.295329
0.295892,0.295892
0.296454,0.296454
0.297016,0.297016
0.297578,0.297578
0.298138,0.298138
0.298698,0.298698
0.299258,0.299258
0.299816,0.299816
0.300374,0.300374
0.300932,0.300932
0.301488,0.301488
0.302044,0.302044
0.3026,0.3026
0.303155,0.303155
0.303709,0.303709
0.304262,0.304262
0.304815,0.304815
0.305367,0.305367
0.305918,0.305918
0.306469,0.306469
0.307019,0.307019
0.307569,0.307569
0.308118,0.308118
0.308666,0.308666
0.309213,0.309214
0.30976,0.30976
0.310307,0.310307
0.310852,0.310852
0.311397,0.311397
0.311942,0.311942
0.312485,0.312485
0.313028,0.313028
0.313571,0.313571
0.314113,0.314113
0.314654,0.314654
0.315194,0.315194
0.315734,0.315734
0.316273,0.316273
0.316812,0.316812
0.31735,0.31735
0.317887,0.317887
0.318424,0.318424
0.31896,0.31896
0.319495,0.319495
0.32003,0.32003
0.320564,0.320564
0.321097,0.321097
0.32163,0.32163
0.322162,0.322162
0.322694,0.322694
0.323225,0.323225
0.323755,0.323755
0.324285,0.324285
0.324814,0.324814
0.325342,0.325342
0.32587,0.32587
0.326397,0.326397
0.326924,0.326924
0.32745,0.32745
0.327975,0.327975
0.3285,0.3285
0.329024,0.329024
0.329547,0.329547
0.33007,0.33007
0.330592,0.330592
0.331114,0.331114
0.331635,0.331635
0.332155,0.332155
0.332675,0.332675
0.333194,0.333194
0.333712,0.333712
0.33423,0.33423
0.334747,0.334747
0.335264,0.335264
0.33578,0.33578
0.336295,0.336295
0.33681,0.33681
0.337324,0.337324
0.337838,0.337838
0.338351,0.338351
0.338863,0.338863
0.339375,0.339375
0.339886,0.339886
0.340396,0.340396
0.340906,0.340906
0.341415,0.341415
0.341924,0.341924
0.342432,0.342432
0.342939,0.342939
0.343446,0.343446
0.343952,0.343952
0.344458,0.344458
0.344963,0.344963
0.345467,0.345467
0.345971,0.345971
0.346474,0.346474
0.346977,0.346977
0.347479,0.347479
0.34798,0.34798
0.348481,0.348481
0.348981,0.348981
0.349481,0.349481
0.34998,0.34998
0.350478,0.350478
0.350976,0.350976
0.351473,0.351473
0.35197,0.35197
0.352466,0.352466
0.352961,0.352961
0.353456,0.353456
0.35395,0.35395
0.354444,0.354444
0.354937,0.354937
0.355429,0.355429
0.355921,0.355921
0.356412,0.356412
0.356903,0.356903
0.357393,0.357393
0.357883,0.357883
0.358372,0.358372
0.35886,0.35886
0.359348,0.359348
0.359835,0.359835
0.360321,0.360321
0.360807,0.360807
0.361292,0.361293
0.361777,0.361777
0.362261,0.362261
0.362745,0.362745
0.363228,0.363228
0.363711,0.363711
0.364192,0.364192
0.364674,0.364674
0.365154,0.365154
0.365635,0.365635
0.366114,0.366114
0.366593,0.366593
0.367071,0.367071
0.367549,0.367549
0.368026,0.368026
0.368503,0.368503
0.368979,0.368979
0.369455,0.369455
0.36993,0.36993
0.370404,0.370404
0.370878,0.370878
0.371351,0.371351
0.371824,0.371824
0.372296,0.372296
0.372767,0.372767
0.373238,0.373238
0.373708,0.373708
0.374178,0.374178
0.374647,0.374647
0.375116,0.375116
0.375584,0.375584
0.376051,0.376052
0.376518,0.376518
0.376985,0.376985
0.377451,0.377451
0.377916,0.377916
0.37838,0.378381
0.378845,0.378845
0.379308,0.379308
0.379771,0.379771
0.380234,0.380234
0.380695,0.380695
0.381157,0.381157
0.381617,0.381617
0.382078,0.382078
0.382537,0.382537
0.382996,0.382996
0.383455,0.383455
0.383913,0.383913
0.38437,0.38437
0.384827,0.384827
0.385283,0.385283
0.385739,0.385739
0.386194,0.386194
0.386649,0.386649
0.387103,0.387103
0.387556,0.387556
0.388009,0.388009
0.388461,0.388461
0.388913,0.388913
0.389365,0.389365
0.389815,0.389815
0.390265,0.390265
0.390715,0.390715
0.391164,0.391164
0.391613,0.391613
0.392061,0.392061
0.392508,0.392508
0.392955,0.392955
0.393401,0.393401
0.393847,0.393847
0.394292,0.394292
0.394737,0.394737
0.395181,0.395181
0.395625,0.395625
0.396068,0.396068
0.39651,0.39651
0.396952,0.396952
0.397394,0.397394
0.397835,0.397835
0.398275,0.398275
0.398715,0.398715
0.399154,0.399154
0.399593,0.399593
0.400031,0.400031
0.400469,0.400469
0.400906,0.400906
0.401343,0.401343
0.401779,0.401779
0.402214,0.402214
0.402649,0.402649
0.403084,0.403084
0.403518,0.403518
0.403951,0.403951
0.404384,0.404384
0.404816,0.404816
0.405248,0.405248
0.405679,0.405679
0.40611,0.40611
0.40654,0.40654
0.40697,0.40697
0.407399,0.407399
0.407827,0.407828
0.408256,0.408256
0.408683,0.408683
0.40911,0.40911
0.409537,0.409537
0.409963,0.409963
0.410388,0.410388
0.410813,0.410813
0.411237,0.411237
0.411661,0.411661
0.412085,0.412085
0.412507,0.412507
0.41293,0.41293
0.413351,0.413352
0.413773,0.413773
0.414193,0.414194
0.414614,0.414614
0.415033,0.415033
0.415453,0.415453
0.415871,0.415871
0.416289,0.416289
0.416707,0.416707
0.417124,0.417124
0.417541,0.417541
0.417957,0.417957
0.418372,0.418372
0.418787,0.418787
0.419202,0.419202
0.419616,0.419616
0.420029,0.420029
0.420442,0.420442
0.420855,0.420855
0.421267,0.421267
0.421678,0.421678
0.422089,0.422089
0.4225,0.4225
0.42291,0.42291
0.423319,0.423319
0.423728,0.423728
0.424136,0.424136
0.424544,0.424544
0.424952,0.424952
0.425358,0.425358
0.425765,0.425765
0.426171,0.426171
0.426576,0.426576
0.426981,0.426981
0.427385,0.427385
0.427789,0.427789
0.428192,0.428192
0.428595,0.428595
0.428997,0.428998
0.429399,0.429399
0.429801,0.429801
0.430201,0.430202
0.430602,0.430602
0.431002,0.431002
0.431401,0.431401
0.4318,0.4318
0.432198,0.432198
0.432596,0.432596
0.432993,0.432993
0.43339,0.43339
0.433786,0.433786
0.434182,0.434182
0.434578,0.434578
0.434972,0.434972
0.435367,0.435367
0.435761,0.435761
0.436154,0.436154
0.436547,0.436547
0.436939,0.436939
0.437331,0.437331
0.437723,0.437723
0.438113,0.438114
0.438504,0.438504
0.438894,0.438894
0.439283,0.439283
0.439672,0.439672
0.440061,0.440061
0.440449,0.440449
0.440836,0.440836
0.441223,0.441223
0.44161,0.44161
0.441996,0.441996
0.442381,0.442381
0.442766,0.442766
0.443151,0.443151
0.443535,0.443535
0.443919,0.443919
0.444302,0.444302
0.444684,0.444684
0.445066,0.445066
0.445448,0.445448
0.445829,0.445829
0.44621,0.44621
0.44659,0.44659
0.44697,0.44697
0.447349,0.447349
0.447728,0.447728
0.448106,0.448106
0.448484,0.448484
0.448862,0.448862
0.449238,0.449238
0.449615,0.449615
0.449991,0.449991
0.450366,0.450366
0.450741,0.450741
0.451116,0.451116
0.45149,0.45149
0.451863,0.451863
0.452236,0.452236
0.452609,0.452609
0.452981,0.452981
0.453353,0.453353
0.453724,0.453724
0.454095,0.454095
0.454465,0.454465
0.454835,0.454835
0.455204,0.455204
0.455573,0.455573
0.455941,0.455941
0.456309,0.456309
0.456676,0.456677
0.457043,0.457043
0.45741,0.45741
0.457776,0.457776
0.458142,0.458142
0.458507,0.458507
0.458871,0.458871
0.459235,0.459236
0.459599,0.459599
0.459962,0.459962
0.460325,0.460325
0.460688,0.460688
0.461049,0.461049
0.461411,0.461411
0.461772,0.461772
0.462132,0.462132
0.462492,0.462492
0.462852,0.462852
0.463211,0.463211
0.46357,0.46357
0.463928,0.463928
0.464285,0.464285
0.464643,0.464643
0.465,0.465
0.465356,0.465356
0.465712,0.465712
0.466067,0.466067
0.466422,0.466422
0.466777,0.466777
0.467131,0.467131
0.467484,0.467484
0.467838,0.467838
0.46819,0.46819
0.468543,0.468543
0.468894,0.468894
0.469246,0.469246
0.469597,0.469597
0.469947,0.469947
0.470297,0.470297
0.470647,0.470647
0.470996,0.470996
0.471344,0.471344
0.471693,0.471693
0.47204,0.47204
0.472388,0.472388
0.472735,0.472735
0.473081,0.473081
0.473427,0.473427
0.473773,0.473773
0.474118,0.474118
0.474462,0.474462
0.474806,0.474807
0.47515,0.47515
0.475494,0.475494
0.475836,0.475836
0.476179,0.476179
0.476521,0.476521
0.476862,0.476862
0.477203,0.477203
0.477544,0.477544
0.477884,0.477884
0.478224,0.478224
0.478563,0.478563
0.478902,0.478902
0.479241,0.479241
0.479579,0.479579
0.479916,0.479916
0.480254,0.480254
0.48059,0.48059
0.480927,0.480927
0.481262,0.481262
0.481598,0.481598
0.481933,0.481933
0.482267,0.482267
0.482601,0.482601
0.482935,0.482935
0.483268,0.483268
0.483601,0.483601
0.483933,0.483933
0.484265,0.484265
0.484597,0.484597
0.484928,0.484928
0.485259,0.485259
0.485589,0.485589
0.485919,0.485919
0.486248,0.486248
0.486577,0.486577
0.486905,0.486905
0.487233,0.487233
0.487561,0.487561
0.487888,0.487888
0.488215,0.488215
0.488541,0.488541
0.488867,0.488867
0.489193,0.489193
0.489518,0.489518
0.489843,0.489843
0.490167,0.490167
0.490491,0.490491
0.490814,0.490814
0.491137,0.491137
0.491459,0.49146
0.491782,0.491782
0.492103,0.492103
0.492425,0.492425
0.492745,0.492745
0.493066,0.493066
0.493386,0.493386
0.493705,0.493705
0.494025,0.494025
0.494343,0.494343
0.494662,0.494662
0.49498,0.49498
0.495297,0.495297
0.495614,0.495614
0.495931,0.495931
0.496247,0.496247
0.496563,0.496563
0.496878,0.496878
0.497193,0.497193
0.497508,0.497508
0.497822,0.497822
0.498136,0.498136
0.498449,0.498449
0.498762,0.498762
0.499075,0.499075
0.499387,0.499387
0.499698,0.499698
0.50001,0.50001
0.500321,0.500321
0.500631,0.500631
0.500941,0.500941
0.501251,0.501251
0.50156,0.50156
0.501869,0.501869
0.502177,0.502177
0.502485,0.502485
0.502793,0.502793
0.5031,0.5031
0.503407,0.503407
0.503713,0.503713
0.504019,0.504019
0.504325,0.504325
0.50463,0.50463
0.504935,0.504935
0.505239,0.505239
0.505543,0.505543
0.505846,0.505847
0.50615,0.50615
0.506452,0.506452
0.506755,0.506755
0.507057,0.507057
0.507358,0.507358
0.507659,0.507659
0.50796,0.50796
0.50826,0.50826
0.50856,0.50856
0.50886,0.50886
0.509159,0.509159
0.509458,0.509458
0.509756,0.509756
0.510054,0.510054
0.510351,0.510351
0.510649,0.510649
0.510945,0.510945
0.511242,0.511242
0.511538,0.511538
0.511833,0.511833
0.512128,0.512128
0.512423,0.512423
0.512717,0.512717
0.513011,0.513011
0.513305,0.513305
0.513598,0.513598
0.513891,0.513891
0.514183,0.514183
0.514475,0.514475
0.514767,0.514767
0.515058,0.515058
0.515349,0.515349
0.51564,0.51564
0.51593,0.51593
0.516219,0.516219
0.516509,0.516509
0.516797,0.516797
0.517086,0.517086
0.517374,0.517374
0.517662,0.517662
0.517949,0.517949
0.518236,0.518236
0.518523,0.518523
0.518809,0.518809
0.519095,0.519095
0.51938,0.51938
0.519665,0.519665
0.51995,0.51995
0.520234,0.520234
0.520518,0.520518
0.520801,0.520801
0.521084,0.521084
0.521367,0.521367
0.521649,0.521649
0.521931,0.521931
0.522213,0.522213
0.522494,0.522494
0.522775,0.522775
0.523055,0.523055
0.523335,0.523335
0.523615,0.523615
0.523894,0.523894
0.524173,0.524173
0.524452,0.524452
0.52473,0.52473
0.525008,0.525008
0.525285,0.525285
0.525562,0.525562
0.525839,0.525839
0.526115,0.526115
0.526391,0.526391
0.526666,0.526666
0.526941,0.526942
0.527216,0.527216
0.527491,0.527491
0.527765,0.527765
0.528038,0.528038
0.528312,0.528312
0.528584,0.528584
0.528857,0.528857
0.529129,0.529129
0.529401,0.529401
0.529672,0.529672
0.529943,0.529943
0.530214,0.530214
0.530484,0.530484
0.530754,0.530754
0.531024,0.531024
0.531293,0.531293
0.531562,0.531562
0.53183,0.53183
0.532098,0.532098
0.532366,0.532366
0.532633,0.532633
0.5329,0.5329
0.533167,0.533167
0.533433,0.533433
0.533699,0.533699
0.533965,0.533965
0.53423,0.53423
0.534494,0.534495
0.534759,0.534759
0.535023,0.535023
0.535287,0.535287
0.53555,0.53555
0.535813,0.535813
0.536076,0.536076
0.536338,0.536338
0.5366,0.5366
0.536861,0.536861
0.537122,0.537122
0.537383,0.537383
0.537643,0.537644
0.537904,0.537904
0.538163,0.538163
0.538423,0.538423
0.538682,0.538682
0.53894,0.53894
0.539199,0.539199
0.539456,0.539456
0.539714,0.539714
0.539971,0.539971
0.540228,0.540228
0.540485,0.540485
0.540741,0.540741
0.540996,0.540996
0.541252,0.541252
0.541507,0.541507
0.541762,0.541762
0.542016,0.542016
0.54227,0.54227
0.542524,0.542524
0.542777,0.542777
0.54303,0.54303
0.543282,0.543283
0.543535,0.543535
0.543787,0.543787
0.544038,0.544038
0.544289,0.544289
0.54454,0.54454
0.544791,0.544791
0.545041,0.545041
0.545291,0.545291
0.54554,0.54554
0.545789,0.545789
0.546038,0.546038
0.546286,0.546286
0.546534,0.546534
0.546782,0.546782
0.547029,0.547029
0.547276,0.547276
0.547523,0.547523
0.547769,0.547769
0.548015,0.548015
0.548261,0.548261
0.548506,0.548506
0.548751,0.548751
0.548995,0.548995
0.54924,0.54924
0.549484,0.549484
0.549727,0.549727
0.54997,0.54997
0.550213,0.550213
0.550456,0.550456
0.550698,0.550698
0.55094,0.55094
0.551181,0.551181
0.551422,0.551422
0.551663,0.551663
0.551904,0.551904
0.552144,0.552144
0.552383,0.552384
0.552623,0.552623
0.552862,0.552862
0.553101,0.553101
0.553339,0.553339
0.553577,0.553577
0.553815,0.553815
0.554052,0.554052
0.55429,0.55429
0.554526,0.554526
0.554763,0.554763
0.554999,0.554999
0.555234,0.555235
0.55547,0.55547
0.555705,0.555705
0.55594,0.55594
0.556174,0.556174
0.556408,0.556408
0.556642,0.556642
0.556875,0.556875
0.557108,0.557108
0.557341,0.557341
0.557573,0.557573
0.557805,0.557805
0.558037,0.558037
0.558269,0.558269
0.5585,0.5585
0.55873,0.55873
0.558961,0.558961
0.559191,0.559191
0.559421,0.559421
0.55965,0.55965
0.559879,0.559879
0.560108,0.560108
0.560336,0.560336
0.560564,0.560564
0.560792,0.560792
0.56102,0.56102
0.561247,0.561247
0.561473,0.561473
0.5617,0.5617
0.561926,0.561926
0.562152,0.562152
0.562377,0.562377
0.562602,0.562603
0.562827,0.562827
0.563052,0.563052
0.563276,0.563276
