n,ms
100,0.0082
100,0.0098
100,0.0126
100,0.0037
100,0.0166
100,0.0038
100,0.0039
100,0.0065
100,0.0038
100,0.0037
100,0.0302
100,0.0044
100,0.1216
100,0.0037
100,0.0036
100,0.0163
