n,ms
1000,0.1887
1000,0.3872
1000,0.2130
1000,0.2079
1000,0.1827
1000,0.2043
1000,0.3327
1000,0.2067
1000,0.2673
1000,0.2089
1000,0.2152
1000,0.1993
1000,0.2436
1000,0.2070
1000,0.2098
1000,0.1945
