Numeric,Analytic
0.00179765,0.00179765
0.00359131,0.00359131
0.00538099,0.00538099
0.00716669,0.00716669
0.00894843,0.00894843
0.0107262,0.0107262
0.0125,0.0125
0.0142699,0.0142699
0.0160359,0.0160359
0.0177979,0.0177979
0.019556,0.019556
0.0213102,0.0213102
0.0230605,0.0230605
0.0248069,0.0248069
0.0265494,0.0265494
0.028288,0.028288
0.0300227,0.0300228
0.0317536,0.0317536
0.0334807,0.0334807
0.0352038,0.0352039
0.0369232,0.0369232
0.0386387,0.0386387
0.0403504,0.0403504
0.0420582,0.0420582
0.0437623,0.0437623
0.0454625,0.0454625
0.047159,0.047159
0.0488516,0.0488517
0.0505405,0.0505405
0.0522256,0.0522256
0.053907,0.053907
0.0555845,0.0555846
0.0572584,0.0572584
0.0589285,0.0589285
0.0605948,0.0605948
0.0622575,0.0622575
0.0639164,0.0639164
0.0655716,0.0655716
0.067223,0.0672231
0.0688708,0.0688708
0.0705149,0.0705149
0.0721553,0.0721554
0.0737921,0.0737921
0.0754251,0.0754252
0.0770545,0.0770546
0.0786803,0.0786803
0.0803024,0.0803024
0.0819209,0.0819209
0.0835357,0.0835357
0.0851469,0.0851469
0.0867545,0.0867545
0.0883585,0.0883585
0.0899589,0.0899589
0.0915556,0.0915557
0.0931488,0.0931489
0.0947384,0.0947385
0.0963245,0.0963245
0.0979069,0.097907
0.0994858,0.0994859
0.101061,0.101061
0.102633,0.102633
0.104201,0.104201
0.105766,0.105766
0.107327,0.107327
0.108885,0.108885
0.110439,0.110439
0.11199,0.11199
0.113537,0.113537
0.115081,0.115081
0.116621,0.116621
0.118158,0.118158
0.119691,0.119691
0.121221,0.121221
0.122747,0.122747
0.12427,0.12427
0.125789,0.125789
0.127305,0.127305
0.128818,0.128818
0.130327,0.130327
0.131833,0.131833
0.133335,0.133335
0.134834,0.134834
0.13633,0.13633
0.137822,0.137822
0.139311,0.139311
0.140796,0.140796
0.142278,0.142278
0.143757,0.143757
0.145232,0.145232
0.146704,0.146704
0.148173,0.148173
0.149638,0.149638
0.1511,0.1511
0.152559,0.152559
0.154014,0.154014
0.155466,0.155466
0.156915,0.156915
0.15836,0.15836
0.159802,0.159803
0.161241,0.161241
0.162677,0.162677
0.164109,0.164109
0.165538,0.165538
0.166964,0.166964
0.168387,0.168387
0.169806,0.169806
0.171222,0.171222
0.172635,0.172635
0.174045,0.174045
0.175451,0.175451
0.176854,0.176855
0.178254,0.178255
0.179651,0.179651
0.181045,0.181045
0.182435,0.182435
0.183823,0.183823
0.185207,0.185207
0.186588,0.186588
0.187966,0.187966
0.18934,0.18934
0.190712,0.190712
0.19208,0.19208
0.193445,0.193445
0.194807,0.194807
0.196166,0.196166
0.197522,0.197522
0.198875,0.198875
0.200225,0.200225
0.201571,0.201571
0.202915,0.202915
0.204255,0.204255
0.205592,0.205592
0.206927,0.206927
0.208258,0.208258
0.209586,0.209586
0.210911,0.210911
0.212233,0.212233
0.213552,0.213552
0.214868,0.214868
0.216181,0.216181
0.217491,0.217491
0.218798,0.218798
0.220101,0.220101
0.221402,0.221402
0.2227,0.2227
0.223995,0.223995
0.225287,0.225287
0.226576,0.226576
0.227862,0.227862
0.229145,0.229145
0.230425,0.230425
0.231702,0.231702
0.232976,0.232976
0.234247,0.234247
0.235515,0.235515
0.23678,0.23678
0.238043,0.238043
0.239302,0.239302
0.240559,0.240559
0.241812,0.241812
0.243063,0.243063
0.244311,0.244311
0.245556,0.245556
0.246798,0.246798
0.248037,0.248037
0.249273,0.249273
0.250507,0.250507
0.251737,0.251737
0.252965,0.252965
0.25419,0.25419
0.255412,0.255412
0.256631,0.256631
0.257847,0.257847
0.25906,0.259061
0.260271,0.260271
0.261479,0.261479
0.262684,0.262684
0.263886,0.263886
0.265086,0.265086
0.266282,0.266282
0.267476,0.267476
0.268667,0.268667
0.269855,0.269855
0.271041,0.271041
0.272224,0.272224
0.273404,0.273404
0.274581,0.274581
0.275755,0.275755
0.276927,0.276927
0.278096,0.278096
0.279262,0.279262
0.280426,0.280426
0.281586,0.281586
0.282744,0.282745
0.2839,0.2839
0.285052,0.285053
0.286202,0.286202
0.28735,0.28735
0.288494,0.288494
0.289636,0.289636
0.290775,0.290775
0.291912,0.291912
0.293046,0.293046
0.294177,0.294177
0.295305,0.295305
0.296431,0.296431
0.297554,0.297554
0.298675,0.298675
0.299793,0.299793
0.300908,0.300908
0.302021,0.302021
0.303131,0.303131
0.304238,0.304238
0.305343,0.305343
0.306445,0.306446
0.307545,0.307545
0.308642,0.308642
0.309736,0.309737
0.310828,0.310828
0.311918,0.311918
0.313004,0.313004
0.314088,0.314089
0.31517,0.31517
0.316249,0.316249
0.317325,0.317326
0.318399,0.318399
0.319471,0.319471
0.320539,0.32054
0.321606,0.321606
0.322669,0.32267
0.323731,0.323731
0.324789,0.324789
0.325846,0.325846
0.326899,0.326899
0.32795,0.327951
0.328999,0.328999
0.330045,0.330045
0.331089,0.331089
0.33213,0.33213
0.333169,0.333169
0.334205,0.334205
0.335239,0.335239
0.33627,0.33627
0.337299,0.337299
0.338325,0.338326
0.339349,0.33935
0.340371,0.340371
0.34139,0.34139
0.342407,0.342407
0.343421,0.343421
0.344433,0.344433
0.345442,0.345442
0.346449,0.346449
0.347453,0.347454
0.348456,0.348456
0.349455,0.349455
0.350453,0.350453
0.351448,0.351448
0.35244,0.35244
0.35343,0.35343
0.354418,0.354418
0.355403,0.355404
0.356387,0.356387
0.357367,0.357367
0.358346,0.358346
0.359322,0.359322
0.360295,0.360295
0.361266,0.361267
0.362235,0.362235
0.363202,0.363202
0.364166,0.364166
0.365128,0.365128
0.366088,0.366088
0.367045,0.367045
0.368,0.368
0.368953,0.368953
0.369903,0.369903
0.370851,0.370851
0.371797,0.371797
0.372741,0.372741
0.373682,0.373682
0.374621,0.374621
0.375557,0.375558
0.376492,0.376492
0.377424,0.377424
0.378354,0.378354
0.379281,0.379282
0.380207,0.380207
0.38113,0.38113
0.382051,0.382051
0.382969,0.38297
0.383886,0.383886
0.3848,0.3848
0.385712,0.385712
0.386622,0.386622
0.387529,0.387529
0.388434,0.388435
0.389338,0.389338
0.390238,0.390239
0.391137,0.391137
0.392034,0.392034
0.392928,0.392928
0.39382,0.39382
0.39471,0.39471
0.395598,0.395598
0.396483,0.396483
0.397367,0.397367
0.398248,0.398248
0.399127,0.399127
0.400004,0.400004
0.400879,0.400879
0.401751,0.401751
0.402622,0.402622
0.40349,0.40349
0.404356,0.404357
0.405221,0.405221
0.406082,0.406083
0.406942,0.406942
0.4078,0.4078
0.408656,0.408656
0.409509,0.409509
0.410361,0.410361
0.41121,0.41121
0.412057,0.412057
0.412902,0.412902
0.413745,0.413745
0.414586,0.414586
0.415425,0.415425
0.416262,0.416262
0.417097,0.417097
0.417929,0.417929
0.41876,0.41876
0.419588,0.419588
0.420415,0.420415
0.421239,0.421239
0.422062,0.422062
0.422882,0.422882
0.4237,0.4237
0.424516,0.424517
0.425331,0.425331
0.426143,0.426143
0.426953,0.426953
0.427761,0.427761
0.428567,0.428568
0.429372,0.429372
0.430174,0.430174
0.430974,0.430974
0.431772,0.431772
0.432568,0.432568
0.433362,0.433362
0.434154,0.434155
0.434945,0.434945
0.435733,0.435733
0.436519,0.436519
0.437303,0.437303
0.438086,0.438086
0.438866,0.438866
0.439644,0.439644
0.440421,0.440421
0.441195,0.441195
0.441968,0.441968
0.442738,0.442738
0.443507,0.443507
0.444274,0.444274
0.445038,0.445039
0.445801,0.445801
0.446562,0.446562
0.447321,0.447321
0.448078,0.448078
0.448833,0.448834
0.449587,0.449587
0.450338,0.450338
0.451088,0.451088
0.451835,0.451835
0.452581,0.452581
0.453325,0.453325
0.454067,0.454067
0.454807,0.454807
0.455545,0.455545
0.456281,0.456281
0.457015,0.457016
0.457748,0.457748
0.458479,0.458479
0.459207,0.459208
0.459934,0.459935
0.460659,0.46066
0.461383,0.461383
0.462104,0.462104
0.462824,0.462824
0.463541,0.463542
0.464257,0.464258
0.464971,0.464972
0.465684,0.465684
0.466394,0.466394
0.467103,0.467103
0.46781,0.46781
0.468515,0.468515
0.469218,0.469218
0.469919,0.469919
0.470619,0.470619
0.471316,0.471317
0.472012,0.472013
0.472707,0.472707
0.473399,0.473399
0.47409,0.47409
0.474778,0.474779
0.475465,0.475466
0.476151,0.476151
0.476834,0.476834
0.477516,0.477516
0.478196,0.478196
0.478874,0.478874
0.479551,0.479551
0.480226,0.480226
0.480899,0.480899
0.48157,0.48157
0.482239,0.482239
0.482907,0.482907
0.483573,0.483573
0.484237,0.484238
0.4849,0.4849
0.485561,0.485561
0.48622,0.48622
0.486877,0.486878
0.487533,0.487533
0.488187,0.488187
0.488839,0.48884
0.48949,0.48949
0.490139,0.490139
0.490786,0.490786
0.491432,0.491432
0.492075,0.492076
0.492718,0.492718
0.493358,0.493358
0.493997,0.493997
0.494634,0.494634
0.495269,0.495269
0.495903,0.495903
0.496535,0.496535
0.497166,0.497166
0.497794,0.497794
0.498421,0.498422
0.499047,0.499047
0.499671,0.499671
0.500293,0.500293
0.500913,0.500914
0.501532,0.501532
0.502149,0.50215
0.502765,0.502765
0.503379,0.503379
0.503991,0.503992
0.504602,0.504602
0.505211,0.505211
0.505819,0.505819
0.506425,0.506425
0.507029,0.507029
0.507632,0.507632
0.508233,0.508233
0.508832,0.508832
0.50943,0.50943
0.510026,0.510026
0.510621,0.510621
0.511214,0.511214
0.511806,0.511806
